large 1:
engaging engaging
tounges tongues
wold would
fragile fragile
pursuit pursuit
commits commits
cruity cruelty
families families
greviving grieving
receive receive
poisonous poisonous
hoping hoping
recuises recognises
unguarded unguarded
hatride hatred
aincent ancient
succumbed succumbed
category category
admitted admitted
rembers remembers
clasped clasped
definty definitely
considered considered
unloyal disloyal
different different
rejoicing rejoicing
pleasant pleasant
certain certain
similes similes
deleate delicate
goring goring
chanaling channelling
copying copying
paid paid
farther father
familiar familiar
playwrite playwright
small 1:
there there
or or
off off
one one
we we
tows use
oi all
there there
whon one
each each
there there
bags bags
are are
bub pub
she she
siisa said
what what
word word
your your
or or
what what
tish this
your your
wer where
each each
they they
all all
cum come
said said
use use
wers words
small 2:
theas these
adoat about
first first
menny mary
would would
number number
tow two
pepl people
clean clean
been been
many many
been been
first first
worta water
been been
ove of
wauta water
do do
ove other
pepel people
yow you
hin him
thees theas
small 3:
wrathe write
good good
sethors sentence
bthr before
folo follow
woche work
howe know
mean mean
show show
arod around
plas place
right right
thome form
take take
thow through
tell tell
know know
also also
name name
yiyaor year
bfor before
that that
our our
very very
sore saw
wiv live
fick think
oade old
mon man
was was
after after
same same
fiy three
fis things
set set
seue say
wer will
great great
oiey only
gise gines
lone line
thawu through
any any
oaw our
mec make
new new
sod sound
small 4:
dus does
wen well
mer am
ur here
because because
need need
leand learn
rend read
yun why
dis does
wha want
mane move
hen his
draf different
emanem england
tor try
choll change
negan again
tume turn
aroah around
mother mother
shod should
point point
world world
small 5:
important important
life life
owas always
tgeth together
keep keep
errey every
dant dont
blou below
earth earth
thort thoulght
cud could
litgh light
near near
sitey city
sor saw
begin begin
clos close
open open
mit might
neth never
going going
sunthing somthing
mthar mother
waill while
clos close
seems seems
get get
cud could
between between
small 6:
maele mile
far far
ineug enough
fer for
cawdren children
lays leaves
have have
ida idea
counls colour
withe white
watch watch
grosn grow
feet feet
rituy river
young young
nett neat
inadan indian
wald would
som some
whoeh while
haw how
cary carry
lait list
abev above
before before
mececy music
small 7:
occurrence occurrence
preference preference
hereditary hereditary
successful successful
unsuccessful unsuccessful
successfully successfully
successfully successfully
Suffaragettes Suffragettes
Suffaragettes Suffragettes
