large 1:
wore wore
tickets tickets
figured figured
enthing everything
reddy ready
medium 1:
benefit benefit
entrepreneur entrepreneur
making making
business business
business business
successful successful
beneficial beneficial
entrepreneur entrepreneur
business business
business business
business business
business business
business business
consider consider
important important
business business
quantities quantities
lead lead
the the
business business
business business
expand expand
business business
business business
business business
produces produces
business business
business business
customer customer
repete repeat
customer customer
business business
reserve reserve
advertisement advertisement
business business
known known
business business
customer customer
customer customer
business business
reviews reviews
business business
reptation reputation
business business
potentially potentially
customers customers
customers customers
become become
abd and
therefore therefore
business business
revenue revenue
business business
would would
customer customer
purchase purchase
manufacture manufacture
usually usually
specified specified
cousemer customer
customer customer
different different
something something
customer customer
coustomers customer
wanted wanted
couler colour
business business
vehicle vehicle
personal personal
attract attract
something something
methods methods
exercise exercise
improvement improvement
section section
improvements improvements
cair care
costumers costumers
afford afford
crowd crowd
something something
competitors competitors
actually actually
realy really
would would
persuade persuade
choses chooses
business business
business business
opinion opinion
already already
business business
independently independently
trainer trainer
ceep keep
earns earns
business business
instead instead
benefits benefits
mony money
stores stores
warehouse warehouse
accessible accessible
arwe are
working working
gose goes
before before
something something
warehouse warehouse
increase increase
complete complete
competitors competitors
likle likely
mony money
because because
medium 2:
trees trees
panic panic
because because
probably probably
terrified terrified
wreckless reckless
situation situation
wreckless reckless
privileged privileged
because because
recall recall
helicopter helicopter
shouldn't shouldn't
illusion illusion
privileged privileged
whereas whereas
thought thought
privileged privileged
reference reference
experience experience
field field
through through
opinion opinion
helicopter helicopter
chillie chillies
thir their
helicopter helicopter
helicopter helicopter
flying flying
thought thought
similar similar
thought thought
similar similar
different different
wreckless reckless
terrible terrible
helicopter helicopter
probably probably
probably probably
probably probably
amount amount
constantly constantly
someone someone
similar similar
because because
different different
around around
because because
because because
around around
boring boring
disappointments disappointments
challenging challenging
boring boring
because because
succeed succeed
medium 3:
ancient ancient
criticises criticises
corrupt corrupt
exahrated exaggerated
embezzling embezzling
difference difference
instead instead
paed paid
maintenance maintenance
damoning damning
horribly horribly
penelope penelope
hatred hatred
trys tries
jeprodising jeopardise
positive positive
opportunity opportunity
fafal fulfil
prosecuted prosecuted
government government
certain certain
sacrilege sacrilege
transferred transferred
athenes athens
aegean aegean
fulfilled fulfilled
throught throughout
viewed viewed
presupposed presupposed
tride tried
tibew tribes
captain captain
unstaible unsuitable
interests interests
divert divert
league league
ancient ancient
passage passage
terrified terrified
exciting exciting
immediately immediately
helmet helmet
quotatm quotation
grusom gruesome
different different
extremely extremely
volunteered volunteered
fulfilling fulfilling
faviroute favourite
believes believes
herdsmen herdsmen
attract attract
immediately immediately
engaging engaging
actually actually
traits traits
hishold household
carrys carries
jeprodises jeopardises
correct correct
challenges challenges
ceaser caesar
impearior emperor
burial burial
perceived perceived
decisions decisions
jeopardize jeopardize
dispare despair
forefill fulfil
minerva minerva
believed believed
succumb succumb
significant significant
tragedy tragedy
trys tries
received received
others others
pageant pageant
positive positive
intimacy intimacy
receive receive
received received
glorifies glorifies
analaysing analysing
brutality brutality
engaging engaging
tongues tongues
wold would
fragile fragile
pursuit pursuit
commits commits
cruelty cruelty
families families
grieving grieving
receive receive
poisonous poisonous
hoping hoping
recuises recognises
unguarded unguarded
hatred hatred
ancient ancient
succumbed succumbed
category category
admitted admitted
remembers remembers
clasped clasped
definitely definitely
considered considered
unloyal disloyal
different different
rejoicing rejoicing
pleasant pleasant
certain certain
similes similes
deleate delicate
goring goring
chanaling channelling
copying copying
paid paid
farther father
familiar familiar
playwright playwright
small 1:
there there
o or
off off
wone one
wey we
tows use
oi all
there there
whon one
ech each
there there
bacs bags
are are
bub pub
se she
siisa said
what what
word word
your your
o or
what what
tish this
your your
wer where
ech each
thay they
all all
cum come
said said
use use
wers words
small 2:
theas these
adoat about
first first
menny mary
woud would
nomder number
tow two
people people
cleen clean
deen been
meny many
deen been
first first
worta water
deen been
ove of
wauta water
do do
ove other
people people
yow you
hin him
thees theas
small 3:
wrathe write
good good
sethors sentence
bthr before
folo follow
woche work
howe know
mean mean
show show
arod around
plas place
rainght right
thome form
take take
thow through
tele tell
know know
olso also
neme name
yiyaor year
bfor before
theat that
our our
vere very
sore saw
wiv live
fick think
oade old
mon man
wos was
after after
same same
fiy three
fis things
sete set
seue say
wer will
great great
oiey only
gise gines
lone line
thawu through
eny any
oaw our
mec make
new new
sod sound
small 4:
dus does
wen well
mer am
ur here
because because
nead need
leand learn
rend read
yun why
dis does
wha want
mane move
hen his
draf different
emanem england
tor try
choll change
negan again
tume turn
aroah around
mother mother
shod should
point point
woald world
small 5:
important important
life life
owas always
tgeth together
ceep keep
errey every
dant dont
blou below
earth earth
thort thoulght
cud could
light light
ner near
sitey city
sor saw
begin begin
clos close
opon open
mit might
neth never
ging going
sunthing somthing
mthar mother
waill while
clos close
sems seems
gt get
cud could
between between
small 6:
maele mile
far far
ineug enough
fer for
cawdren children
lays leaves
hav have
ida idea
counls colour
withe white
watch watch
grosn grow
fet feet
rituy river
youn young
nett neat
indian indian
wald would
som some
whoeh while
haw how
cary carry
lait list
abev above
befour before
mececy music
small 7:
occurrence occurrence
preference preference
hereditary hereditary
successful successful
unsuccessful unsuccessful
successfully successfully
successfully successfully
Suffaragettes Suffragettes
Suffaragettes Suffragettes
